x, y
-10.000000,0.420372
-9.990000,0.402271
-9.980000,0.384789
-9.970000,0.367903
-9.960000,0.351594
-9.950000,0.335840
-9.940000,0.320622
-9.930000,0.305922
-9.920000,0.291724
-9.910000,0.278010
-9.900000,0.264765
-9.890000,0.251974
-9.880000,0.239622
-9.870000,0.227697
-9.860000,0.216185
-9.850000,0.205074
-9.840000,0.194352
-9.830000,0.184009
-9.820000,0.174033
-9.810000,0.164414
-9.800000,0.155144
-9.790000,0.146212
-9.780000,0.137610
-9.770000,0.129329
-9.760000,0.121362
-9.750000,0.113701
-9.740000,0.106338
-9.730000,0.099267
-9.720000,0.092482
-9.710000,0.085976
-9.700000,0.079743
-9.690000,0.073778
-9.680000,0.068075
-9.670000,0.062629
-9.660000,0.057436
-9.650000,0.052491
-9.640000,0.047789
-9.630000,0.043328
-9.620000,0.039101
-9.610000,0.035107
-9.600000,0.031342
-9.590000,0.027803
-9.580000,0.024486
-9.570000,0.021390
-9.560000,0.018510
-9.550000,0.015846
-9.540000,0.013395
-9.530000,0.011154
-9.520000,0.009122
-9.510000,0.007298
-9.500000,0.005680
-9.490000,0.004266
-9.480000,0.003056
-9.470000,0.002048
-9.460000,0.001242
-9.450000,0.000636
-9.440000,0.000232
-9.430000,0.000027
-9.420000,0.000023
-9.410000,0.000218
-9.400000,0.000614
-9.390000,0.001211
-9.380000,0.002008
-9.370000,0.003007
-9.360000,0.004208
-9.350000,0.005613
-9.340000,0.007222
-9.330000,0.009037
-9.320000,0.011059
-9.310000,0.013291
-9.300000,0.015733
-9.290000,0.018387
-9.280000,0.021257
-9.270000,0.024344
-9.260000,0.027651
-9.250000,0.031180
-9.240000,0.034935
-9.230000,0.038919
-9.220000,0.043135
-9.210000,0.047586
-9.200000,0.052277
-9.190000,0.057211
-9.180000,0.062393
-9.170000,0.067828
-9.160000,0.073519
-9.150000,0.079473
-9.140000,0.085694
-9.130000,0.092187
-9.120000,0.098960
-9.110000,0.106018
-9.100000,0.113367
-9.090000,0.121015
-9.080000,0.128969
-9.070000,0.137235
-9.060000,0.145823
-9.050000,0.154740
-9.040000,0.163995
-9.030000,0.173598
-9.020000,0.183558
-9.010000,0.193885
-9.000000,0.204590
-8.990000,0.215683
-8.980000,0.227177
-8.970000,0.239083
-8.960000,0.251416
-8.950000,0.264187
-8.940000,0.277412
-8.930000,0.291105
-8.920000,0.305281
-8.910000,0.319958
-8.900000,0.335153
-8.890000,0.350882
-8.880000,0.367167
-8.870000,0.384026
-8.860000,0.401481
-8.850000,0.419555
-8.840000,0.438269
-8.830000,0.457649
-8.820000,0.477722
-8.810000,0.498513
-8.800000,0.520053
-8.790000,0.542371
-8.780000,0.565500
-8.770000,0.589473
-8.760000,0.614326
-8.750000,0.640097
-8.740000,0.666827
-8.730000,0.694557
-8.720000,0.723332
-8.710000,0.753200
-8.700000,0.784211
-8.690000,0.816419
-8.680000,0.849880
-8.670000,0.884655
-8.660000,0.920808
-8.650000,0.958406
-8.640000,0.997522
-8.630000,1.038234
-8.620000,1.080624
-8.610000,1.124779
-8.600000,1.170794
-8.590000,1.218769
-8.580000,1.268810
-8.570000,1.321033
-8.560000,1.375561
-8.550000,1.432525
-8.540000,1.492067
-8.530000,1.554340
-8.520000,1.619507
-8.510000,1.687745
-8.500000,1.759242
-8.490000,1.834206
-8.480000,1.912857
-8.470000,1.995435
-8.460000,2.082201
-8.450000,2.173436
-8.440000,2.269446
-8.430000,2.370564
-8.420000,2.477153
-8.410000,2.589609
-8.400000,2.708364
-8.390000,2.833890
-8.380000,2.966706
-8.370000,3.107381
-8.360000,3.256540
-8.350000,3.414874
-8.340000,3.583144
-8.330000,3.762190
-8.320000,3.952948
-8.310000,4.156453
-8.300000,4.373860
-8.290000,4.606457
-8.280000,4.855686
-8.270000,5.123162
-8.260000,5.410705
-8.250000,5.720364
-8.240000,6.054458
-8.230000,6.415620
-8.220000,6.806847
-8.210000,7.231560
-8.200000,7.693685
-8.190000,8.197739
-8.180000,8.748943
-8.170000,9.353355
-8.160000,10.018042
-8.150000,10.751282
-8.140000,11.562826
-8.130000,12.464222
-8.120000,13.469230
-8.110000,14.594349
-8.100000,15.859495
-8.090000,17.288897
-8.080000,18.912252
-8.070000,20.766294
-8.060000,22.896879
-8.050000,25.361853
-8.040000,28.235021
-8.030000,31.611730
-8.020000,35.616888
-8.010000,40.416676
-8.000000,46.236077
-7.990000,53.385715
-7.980000,62.304194
-7.970000,73.626995
-7.960000,88.302895
-7.950000,107.799388
-7.940000,134.484316
-7.930000,172.380267
-7.920000,228.774322
-7.910000,318.002037
-7.900000,471.546120
-7.890000,770.151663
-7.880000,1476.535635
-7.870000,3896.630979
-7.860000,27607.832852
-7.850000,63077.248493
-7.840000,5114.786863
-7.830000,1738.104653
-7.820000,865.320635
-7.810000,516.293865
-7.800000,342.502446
-7.790000,243.614412
-7.780000,182.039426
-7.770000,141.119154
-7.760000,112.551541
-7.750000,91.822340
-7.740000,76.305753
-7.730000,64.390050
-7.720000,55.041494
-7.710000,47.572332
-7.700000,41.510606
-7.690000,36.523712
-7.680000,32.371797
-7.670000,28.878362
-7.660000,25.911194
-7.650000,23.369672
-7.640000,21.176125
-7.630000,19.269820
-7.620000,17.602721
-7.610000,16.136429
-7.600000,14.839951
-7.590000,13.688053
-7.580000,12.660019
-7.570000,11.738717
-7.560000,10.909874
-7.550000,10.161530
-7.540000,9.483596
-7.530000,8.867516
-7.520000,8.305997
-7.510000,7.792788
-7.500000,7.322511
-7.490000,6.890514
-7.480000,6.492760
-7.470000,6.125730
-7.460000,5.786348
-7.450000,5.471909
-7.440000,5.180037
-7.430000,4.908628
-7.420000,4.655820
-7.410000,4.419958
