x, y
0.010000,-4.191807
0.020000,-3.560877
0.030000,-3.191807
0.040000,-2.929947
0.050000,-2.726833
0.060000,-2.560877
0.070000,-2.420563
0.080000,-2.299017
0.090000,-2.191807
0.100000,-2.095903
0.110000,-2.009148
0.120000,-1.929947
0.130000,-1.857089
0.140000,-1.789633
0.150000,-1.726833
0.160000,-1.668088
0.170000,-1.612905
0.180000,-1.560877
0.190000,-1.511663
0.200000,-1.464974
0.210000,-1.420563
0.220000,-1.378219
0.230000,-1.337757
0.240000,-1.299017
0.250000,-1.261860
0.260000,-1.226159
0.270000,-1.191807
0.280000,-1.158703
0.290000,-1.126762
0.300000,-1.095903
0.310000,-1.066057
0.320000,-1.037158
0.330000,-1.009148
0.340000,-0.981975
0.350000,-0.955589
0.360000,-0.929947
0.370000,-0.905007
0.380000,-0.880733
0.390000,-0.857089
0.400000,-0.834044
0.410000,-0.811568
0.420000,-0.789633
0.430000,-0.768215
0.440000,-0.747289
0.450000,-0.726833
0.460000,-0.706827
0.470000,-0.687251
0.480000,-0.668088
0.490000,-0.649319
0.500000,-0.630930
0.510000,-0.612905
0.520000,-0.595230
0.530000,-0.577891
0.540000,-0.560877
0.550000,-0.544175
0.560000,-0.527774
0.570000,-0.511663
0.580000,-0.495832
0.590000,-0.480272
0.600000,-0.464974
0.610000,-0.449928
0.620000,-0.435127
0.630000,-0.420563
0.640000,-0.406228
0.650000,-0.392116
0.660000,-0.378219
0.670000,-0.364530
0.680000,-0.351045
0.690000,-0.337757
0.700000,-0.324660
0.710000,-0.311748
0.720000,-0.299017
0.730000,-0.286462
0.740000,-0.274078
0.750000,-0.261860
0.760000,-0.249803
0.770000,-0.237905
0.780000,-0.226159
0.790000,-0.214564
0.800000,-0.203114
0.810000,-0.191807
0.820000,-0.180638
0.830000,-0.169605
0.840000,-0.158703
0.850000,-0.147931
0.860000,-0.137285
0.870000,-0.126762
0.880000,-0.116359
0.890000,-0.106074
0.900000,-0.095903
0.910000,-0.085845
0.920000,-0.075897
