x, y
-10.000000,-0.648361
-9.990000,-0.634248
-9.980000,-0.620313
-9.970000,-0.606550
-9.960000,-0.592953
-9.950000,-0.579517
-9.940000,-0.566235
-9.930000,-0.553103
-9.920000,-0.540115
-9.910000,-0.527266
-9.900000,-0.514553
-9.890000,-0.501970
-9.880000,-0.489512
-9.870000,-0.477176
-9.860000,-0.464957
-9.850000,-0.452851
-9.840000,-0.440854
-9.830000,-0.428962
-9.820000,-0.417173
-9.810000,-0.405481
-9.800000,-0.393883
-9.790000,-0.382377
-9.780000,-0.370958
-9.770000,-0.359623
-9.760000,-0.348370
-9.750000,-0.337195
-9.740000,-0.326095
-9.730000,-0.315067
-9.720000,-0.304109
-9.710000,-0.293217
-9.700000,-0.282388
-9.690000,-0.271621
-9.680000,-0.260912
-9.670000,-0.250259
-9.660000,-0.239659
-9.650000,-0.229109
-9.640000,-0.218608
-9.630000,-0.208153
-9.620000,-0.197741
-9.610000,-0.187370
-9.600000,-0.177038
-9.590000,-0.166742
-9.580000,-0.156481
-9.570000,-0.146252
-9.560000,-0.136052
-9.550000,-0.125881
-9.540000,-0.115735
-9.530000,-0.105612
-9.520000,-0.095511
-9.510000,-0.085429
-9.500000,-0.075364
-9.490000,-0.065315
-9.480000,-0.055278
-9.470000,-0.045253
-9.460000,-0.035237
-9.450000,-0.025227
-9.440000,-0.015223
-9.430000,-0.005222
-9.420000,0.004778
-9.410000,0.014779
-9.400000,0.024783
-9.390000,0.034792
-9.380000,0.044808
-9.370000,0.054833
-9.360000,0.064869
-9.350000,0.074918
-9.340000,0.084982
-9.330000,0.095063
-9.320000,0.105163
-9.310000,0.115285
-9.300000,0.125430
-9.290000,0.135600
-9.280000,0.145798
-9.270000,0.156026
-9.260000,0.166286
-9.250000,0.176580
-9.240000,0.186910
-9.230000,0.197279
-9.220000,0.207689
-9.210000,0.218143
-9.200000,0.228642
-9.190000,0.239189
-9.180000,0.249787
-9.170000,0.260438
-9.160000,0.271144
-9.150000,0.281909
-9.140000,0.292735
-9.130000,0.303624
-9.120000,0.314579
-9.110000,0.325604
-9.100000,0.336701
-9.090000,0.347872
-9.080000,0.359122
-9.070000,0.370453
-9.060000,0.381868
-9.050000,0.393370
-9.040000,0.404964
-9.030000,0.416651
-9.020000,0.428437
-9.010000,0.440324
-9.000000,0.452316
-8.990000,0.464417
-8.980000,0.476631
-8.970000,0.488962
-8.960000,0.501414
-8.950000,0.513991
-8.940000,0.526699
-8.930000,0.539541
-8.920000,0.552523
-8.910000,0.565649
-8.900000,0.578924
-8.890000,0.592353
-8.880000,0.605943
-8.870000,0.619699
-8.860000,0.633626
-8.850000,0.647730
-8.840000,0.662019
-8.830000,0.676498
-8.820000,0.691174
-8.810000,0.706055
-8.800000,0.721147
-8.790000,0.736458
-8.780000,0.751997
-8.770000,0.767771
-8.760000,0.783789
-8.750000,0.800061
-8.740000,0.816595
-8.730000,0.833401
-8.720000,0.850489
-8.710000,0.867871
-8.700000,0.885557
-8.690000,0.903559
-8.680000,0.921890
-8.670000,0.940561
-8.660000,0.959587
-8.650000,0.978982
-8.640000,0.998760
-8.630000,1.018938
-8.620000,1.039531
-8.610000,1.060556
-8.600000,1.082032
-8.590000,1.103979
-8.580000,1.126415
-8.570000,1.149362
-8.560000,1.172843
-8.550000,1.196881
-8.540000,1.221502
-8.530000,1.246732
-8.520000,1.272599
-8.510000,1.299132
-8.500000,1.326364
-8.490000,1.354329
-8.480000,1.383061
-8.470000,1.412599
-8.460000,1.442983
-8.450000,1.474258
-8.440000,1.506468
-8.430000,1.539664
-8.420000,1.573898
-8.410000,1.609226
-8.400000,1.645711
-8.390000,1.683416
-8.380000,1.722413
-8.370000,1.762777
-8.360000,1.804589
-8.350000,1.847938
-8.340000,1.892919
-8.330000,1.939637
-8.320000,1.988202
-8.310000,2.038738
-8.300000,2.091378
-8.290000,2.146266
-8.280000,2.203562
-8.270000,2.263440
-8.260000,2.326092
-8.250000,2.391728
-8.240000,2.460581
-8.230000,2.532908
-8.220000,2.608994
-8.210000,2.689156
-8.200000,2.773749
-8.190000,2.863169
-8.180000,2.957861
-8.170000,3.058326
-8.160000,3.165129
-8.150000,3.278915
-8.140000,3.400416
-8.130000,3.530471
-8.120000,3.670045
-8.110000,3.820255
-8.100000,3.982398
-8.090000,4.157992
-8.080000,4.348822
-8.070000,4.557005
-8.060000,4.785068
-8.050000,5.036055
-8.040000,5.313664
-8.030000,5.622431
-8.020000,5.967989
-8.010000,6.357411
-8.000000,6.799712
-7.990000,7.306553
-7.980000,7.893301
